Restaurant Name,Location,Rating,Votes,Cost for Two,Online Order,Book Table,Restaurant Type,Service Type,Chain Name
"Lewis, Harper and Moore",Indiranagar,4.9,111154,5746,Yes,No,Delivery,Desserts,Empire
Williams-Smith,Whitefield,2.9,49865,259,No,No,Quick Bites,Desserts,Nagarjuna
"Walter, Dunn and Adams",Indiranagar,3.6,44189,5725,Yes,Yes,Casual Dining,Cafes,Biergarten
Collins-Holloway,MG Road,2.7,13354,3662,No,No,Quick Bites,Cafes,The Black Pearl
Hicks and Sons,BTM,4.7,65484,4616,Yes,No,Cafe,Buffet,Windmills Craftworks
Daugherty Inc,Koramangala,2.2,149128,3424,Yes,No,Dessert Parlor,Delivery,Truffles
King-Miller,Church Street,4.5,15082,3114,Yes,No,Cafe,Cafes,Brew and Barbeque
"Wood, Carter and Smith",Whitefield,1.5,48810,3493,No,Yes,Casual Dining,Buffet,Truffles
"Alvarez, Jones and Romero",JP Nagar,1.8,134835,1459,No,Yes,Delivery,Delivery,Biergarten
Tran-Bowen,Koramangala,2.3,103650,3266,No,No,Delivery,Dine-out,Empire
Ayala-Boyle,Koramangala,1.9,114979,5576,No,Yes,Quick Bites,Cafes,The Fatty Bao
Campbell-Martinez,Indiranagar,2.8,52036,1106,Yes,No,Casual Dining,Dine-out,The Fatty Bao
"Welch, Hall and Decker",Jayanagar,4.1,8295,1513,Yes,No,Cafe,Delivery,The Fatty Bao
Skinner Group,Marathahalli,3.4,33416,2861,No,No,Quick Bites,Delivery,The Black Pearl
Schmidt-Fischer,Indiranagar,1.9,90219,4296,Yes,Yes,Casual Dining,Cafes,The Fatty Bao
"Thomas, May and Page",Church Street,4.1,113866,4133,No,No,Delivery,Delivery,The Fatty Bao
"Cole, Sanchez and Smith",JP Nagar,3.7,134028,1730,Yes,No,Casual Dining,Cafes,TBC Sky Lounge
"Johnson, Herring and Roberts",Jayanagar,2.2,27027,5943,Yes,Yes,Dessert Parlor,Dine-out,TBC Sky Lounge
Henderson LLC,Whitefield,2.0,10067,2443,Yes,Yes,Delivery,Delivery,Nagarjuna
Jones LLC,JP Nagar,1.8,13367,3315,No,No,Quick Bites,Dine-out,Brew and Barbeque
Franklin and Sons,Jayanagar,3.2,133667,3698,Yes,No,Casual Dining,Cafes,Brew and Barbeque
Cooper and Sons,Koramangala,4.8,109605,2223,No,Yes,Quick Bites,Delivery,Toit
Young-Coleman,Indiranagar,3.8,84325,1936,No,No,Cafe,Desserts,The Black Pearl
Larsen and Sons,Jayanagar,2.1,128797,3178,No,No,Casual Dining,Delivery,Toit
Reyes LLC,MG Road,4.2,34169,2913,No,No,Dessert Parlor,Desserts,Nagarjuna
Henson Ltd,BTM,2.3,72347,1920,No,Yes,Casual Dining,Dine-out,Nagarjuna
Jones LLC,Whitefield,1.6,49931,1780,No,Yes,Casual Dining,Desserts,Nagarjuna
Valdez-Santiago,BTM,2.6,124318,1854,Yes,Yes,Quick Bites,Dine-out,The Fatty Bao
Martinez-Schroeder,MG Road,4.0,146901,3045,No,No,Casual Dining,Buffet,The Black Pearl
"Smith, Olsen and Wagner",Marathahalli,3.0,132096,379,Yes,No,Quick Bites,Cafes,Toit
Cook and Sons,Church Street,1.7,49867,3456,No,Yes,Quick Bites,Buffet,Empire
"Baker, Walker and Mckinney",Jayanagar,3.5,102310,3483,No,Yes,Quick Bites,Delivery,Biergarten
"Carter, Martinez and Owens",Church Street,2.3,2332,4400,No,No,Cafe,Dine-out,Windmills Craftworks
Ball-Flowers,Koramangala,3.4,44865,2034,Yes,Yes,Cafe,Delivery,Biergarten
Wagner Inc,Koramangala,4.7,70902,622,Yes,Yes,Dessert Parlor,Delivery,Toit
"Hanson, Escobar and Daniels",BTM,3.7,96770,2858,Yes,No,Quick Bites,Buffet,Nagarjuna
Williams-Jones,Koramangala,2.6,15021,5327,Yes,No,Quick Bites,Cafes,Biergarten
Cortez-Thomas,Koramangala,4.9,140883,5584,Yes,No,Cafe,Desserts,Empire
Blankenship-Neal,JP Nagar,4.4,57849,2856,No,Yes,Dessert Parlor,Buffet,Biergarten
"Hernandez, Young and Anderson",Marathahalli,2.3,113755,3219,Yes,No,Casual Dining,Buffet,Biergarten
Wallace and Sons,Marathahalli,2.1,46176,1747,No,Yes,Cafe,Delivery,Windmills Craftworks
Johnson Inc,HSR,4.6,103346,5830,Yes,Yes,Quick Bites,Delivery,The Fatty Bao
"Hancock, Williams and Pacheco",JP Nagar,3.1,105524,1021,Yes,Yes,Dessert Parlor,Delivery,The Fatty Bao
Watts-Johnson,Jayanagar,1.6,3562,5479,Yes,Yes,Quick Bites,Delivery,Windmills Craftworks
Porter-Rodriguez,HSR,4.8,3548,276,Yes,No,Casual Dining,Dine-out,Biergarten
"Taylor, Copeland and Marquez",Marathahalli,4.2,116487,1536,No,No,Delivery,Dine-out,TBC Sky Lounge
"Hall, Stanton and King",Indiranagar,3.4,70122,5340,Yes,Yes,Casual Dining,Delivery,Empire
Carpenter-Keller,Koramangala,1.9,108874,1361,Yes,Yes,Casual Dining,Dine-out,The Fatty Bao
"Foster, Ramos and Bradley",Jayanagar,2.0,75205,2050,No,Yes,Delivery,Dine-out,The Black Pearl
Davis-Norman,JP Nagar,1.9,73885,3127,Yes,No,Casual Dining,Cafes,The Black Pearl
"Reeves, Gillespie and Huynh",Indiranagar,3.6,46689,3711,No,Yes,Delivery,Dine-out,Windmills Craftworks
Liu-Carlson,Church Street,4.4,91337,1051,No,No,Cafe,Cafes,The Black Pearl
Bentley-Greene,Indiranagar,4.5,38975,5572,Yes,No,Quick Bites,Buffet,Truffles
"Nichols, Collins and Zuniga",Marathahalli,4.4,29675,4933,No,No,Quick Bites,Delivery,Brew and Barbeque
Ponce Ltd,HSR,2.1,100940,3088,No,No,Delivery,Buffet,The Fatty Bao
Cruz-Montoya,Church Street,4.3,87425,1332,Yes,No,Delivery,Desserts,Truffles
Howard PLC,MG Road,3.4,139594,4592,Yes,No,Casual Dining,Desserts,The Fatty Bao
Turner Inc,MG Road,3.5,57507,5959,Yes,Yes,Cafe,Delivery,TBC Sky Lounge
"Richards, Boyd and Jones",Indiranagar,2.8,124246,1294,Yes,Yes,Cafe,Cafes,Biergarten
Hill-Burns,Koramangala,3.1,144582,3649,Yes,Yes,Quick Bites,Delivery,Biergarten
Miller-Cortez,Whitefield,4.9,37516,3292,Yes,No,Cafe,Delivery,The Black Pearl
Garrett-Villa,Church Street,1.8,41474,447,Yes,No,Quick Bites,Delivery,TBC Sky Lounge
"Bates, Sandoval and Franklin",Whitefield,1.5,109191,1426,Yes,No,Quick Bites,Desserts,Windmills Craftworks
"Bruce, Palmer and Patel",Marathahalli,2.9,88440,3837,Yes,No,Casual Dining,Dine-out,Toit
Cisneros-Wilson,Indiranagar,3.6,45513,4322,Yes,Yes,Delivery,Buffet,Truffles
"Curtis, King and Pacheco",MG Road,4.0,67657,4886,No,Yes,Delivery,Dine-out,Windmills Craftworks
Lewis PLC,Whitefield,3.3,32812,1935,No,Yes,Quick Bites,Buffet,Biergarten
Ramirez and Sons,MG Road,3.6,20249,5872,No,No,Cafe,Buffet,The Fatty Bao
Valentine-Ellis,HSR,1.7,97390,5497,No,Yes,Cafe,Delivery,The Black Pearl
Peterson PLC,Whitefield,2.8,87951,429,Yes,No,Quick Bites,Desserts,The Black Pearl
"Lambert, Lane and Walsh",Whitefield,2.2,2887,2732,Yes,Yes,Casual Dining,Dine-out,Windmills Craftworks
Cannon-Torres,Whitefield,4.9,148068,567,No,Yes,Casual Dining,Cafes,The Black Pearl
Moran-Green,Koramangala,1.5,93503,2513,No,Yes,Cafe,Buffet,Brew and Barbeque
Weiss Group,HSR,4.0,25537,2914,No,Yes,Dessert Parlor,Dine-out,Toit
Melendez LLC,Church Street,4.3,125040,5003,Yes,No,Quick Bites,Dine-out,Truffles
Morales-Stephenson,Whitefield,4.6,24465,2097,Yes,Yes,Quick Bites,Desserts,Empire
Martinez PLC,Church Street,3.8,89509,3865,Yes,No,Cafe,Cafes,Nagarjuna
Obrien Group,Jayanagar,1.6,101625,2158,Yes,Yes,Quick Bites,Desserts,Truffles
Greene Ltd,Whitefield,4.3,37397,2735,Yes,No,Casual Dining,Buffet,Brew and Barbeque
Rodriguez Ltd,HSR,4.8,42339,758,No,No,Cafe,Delivery,The Black Pearl
Haynes Ltd,HSR,4.0,120790,2313,No,No,Delivery,Dine-out,The Black Pearl
Sanford-Petersen,Church Street,3.2,95292,2548,No,No,Dessert Parlor,Dine-out,Truffles
"Newman, Dixon and Rodriguez",BTM,3.3,82230,3261,Yes,No,Dessert Parlor,Buffet,Windmills Craftworks
Ortiz-Roberts,Indiranagar,3.7,14967,2205,Yes,Yes,Casual Dining,Cafes,The Fatty Bao
"Washington, Mann and Moore",HSR,3.5,19140,2027,No,No,Casual Dining,Cafes,Truffles
"Lucero, Lowe and Burgess",Marathahalli,3.7,121868,1093,Yes,Yes,Casual Dining,Buffet,The Fatty Bao
Mcdonald-Doyle,JP Nagar,2.9,16910,2799,No,No,Quick Bites,Buffet,The Black Pearl
"Williams, Snow and Blair",Koramangala,3.1,142899,1475,No,Yes,Quick Bites,Cafes,Nagarjuna
"Price, Washington and Taylor",Indiranagar,5.0,99699,711,No,No,Delivery,Dine-out,Toit
"Cobb, Maynard and Duarte",JP Nagar,4.5,110876,2410,No,Yes,Casual Dining,Dine-out,The Black Pearl
King Ltd,Koramangala,2.9,78217,3898,No,Yes,Cafe,Dine-out,Toit
"Scott, Ross and Bush",Whitefield,4.6,112347,3001,No,Yes,Quick Bites,Cafes,The Fatty Bao
Chavez and Sons,Marathahalli,3.2,42133,5907,No,No,Dessert Parlor,Buffet,Toit
Brown-Franklin,MG Road,4.2,52061,837,Yes,No,Cafe,Delivery,Biergarten
Armstrong-Edwards,Marathahalli,4.8,130936,2792,Yes,No,Cafe,Desserts,Toit
Allen Group,Marathahalli,4.8,32966,5396,No,Yes,Casual Dining,Dine-out,TBC Sky Lounge
Williams-Nguyen,Jayanagar,3.9,43552,5122,No,Yes,Cafe,Dine-out,TBC Sky Lounge
"Bell, Guzman and Evans",Church Street,4.8,97070,3180,Yes,No,Cafe,Desserts,The Black Pearl
Hall Group,Marathahalli,3.8,119547,3591,No,No,Cafe,Desserts,The Fatty Bao
Fitzpatrick Ltd,MG Road,4.9,88044,1128,Yes,No,Delivery,Cafes,Biergarten
"Ward, Marks and Rangel",MG Road,3.6,142292,3770,No,No,Delivery,Cafes,Nagarjuna
"Daniel, Wade and Thornton",Whitefield,5.0,27223,934,Yes,No,Casual Dining,Buffet,Nagarjuna
"Ward, Johnson and Duncan",MG Road,1.8,116429,4323,Yes,No,Delivery,Dine-out,TBC Sky Lounge
Boyd LLC,Marathahalli,3.4,30025,1802,No,Yes,Cafe,Buffet,The Fatty Bao
Olson-Johnson,Jayanagar,1.5,98220,2034,No,No,Cafe,Cafes,The Fatty Bao
"Page, Moore and Smith",JP Nagar,1.5,108683,467,Yes,Yes,Quick Bites,Cafes,Empire
Roberts-Smith,Church Street,2.6,44682,4887,No,Yes,Dessert Parlor,Buffet,TBC Sky Lounge
Mosley PLC,Church Street,3.8,13531,4933,No,Yes,Delivery,Dine-out,The Fatty Bao
Huynh Group,BTM,3.3,114672,2092,Yes,Yes,Dessert Parlor,Delivery,Nagarjuna
Stephens Inc,Jayanagar,4.5,68227,4729,Yes,No,Quick Bites,Delivery,The Black Pearl
Frey-Carter,Indiranagar,3.0,40130,427,Yes,No,Casual Dining,Dine-out,Truffles
Allen-Lopez,BTM,2.2,58141,2632,Yes,Yes,Delivery,Cafes,Toit
Myers PLC,Koramangala,1.8,37698,5339,Yes,Yes,Casual Dining,Buffet,Nagarjuna
Williams Ltd,Whitefield,1.9,74055,2346,Yes,Yes,Casual Dining,Buffet,Brew and Barbeque
"Schwartz, Norman and Warner",JP Nagar,2.9,128732,379,No,Yes,Delivery,Delivery,TBC Sky Lounge
Young Inc,Jayanagar,2.8,82214,5390,No,Yes,Quick Bites,Cafes,Toit
Harrington PLC,HSR,3.8,8254,1160,No,No,Delivery,Desserts,Nagarjuna
"Fry, Middleton and Williams",MG Road,1.5,136783,2284,Yes,Yes,Dessert Parlor,Delivery,Empire
"Huang, Sanders and Watson",Indiranagar,3.3,39946,1971,No,Yes,Quick Bites,Delivery,Brew and Barbeque
Morales-Camacho,HSR,2.3,33192,2392,No,No,Quick Bites,Delivery,Brew and Barbeque
"Ellis, Young and Schmidt",MG Road,3.8,122442,4261,No,No,Quick Bites,Cafes,Biergarten
Coleman-Sanchez,JP Nagar,3.9,73694,3418,Yes,No,Quick Bites,Dine-out,Truffles
"Sanchez, Cox and Ryan",Jayanagar,4.6,111090,5085,No,No,Dessert Parlor,Delivery,Nagarjuna
Rosario LLC,Jayanagar,3.0,148682,3091,No,Yes,Delivery,Dine-out,Toit
"Owen, Wallace and Ryan",MG Road,2.4,107438,2604,No,No,Casual Dining,Delivery,Biergarten
Johnson-Cline,BTM,3.0,48746,3130,Yes,Yes,Quick Bites,Cafes,Brew and Barbeque
"Wong, Stewart and Brown",HSR,4.2,32071,278,No,Yes,Cafe,Dine-out,Truffles
"Kelley, Klein and Hatfield",Church Street,4.3,60997,4800,Yes,No,Cafe,Desserts,TBC Sky Lounge
"Brown, Grimes and Pruitt",MG Road,2.3,147061,2477,Yes,No,Delivery,Cafes,Brew and Barbeque
"Adkins, Robertson and Lee",JP Nagar,2.2,129491,4284,Yes,No,Delivery,Delivery,The Black Pearl
Oliver Ltd,Marathahalli,2.1,85698,5042,No,Yes,Dessert Parlor,Delivery,Windmills Craftworks
Hunter-Luna,Indiranagar,3.8,1228,3982,No,Yes,Delivery,Delivery,Empire
Adams Inc,MG Road,1.6,4275,768,No,Yes,Delivery,Cafes,Windmills Craftworks
Arnold PLC,BTM,4.1,104957,853,No,No,Dessert Parlor,Delivery,The Fatty Bao
Peterson-Jennings,Koramangala,3.9,119175,4241,Yes,No,Dessert Parlor,Delivery,Toit
Rodgers LLC,JP Nagar,1.7,2735,1336,Yes,No,Delivery,Dine-out,Biergarten
Smith LLC,Whitefield,2.2,96709,4603,Yes,Yes,Cafe,Delivery,The Black Pearl
Singh-Maynard,Indiranagar,4.8,19681,2360,No,No,Cafe,Dine-out,Biergarten
Stevens LLC,Church Street,3.1,33115,2815,Yes,No,Delivery,Delivery,Empire
Hodges-Cook,MG Road,2.3,125295,5617,No,No,Cafe,Buffet,TBC Sky Lounge
Bennett LLC,Whitefield,2.4,77666,878,No,Yes,Quick Bites,Delivery,The Black Pearl
"Pena, Hart and Rodriguez",Marathahalli,1.7,3451,5692,Yes,No,Delivery,Dine-out,Truffles
Young-King,Whitefield,2.7,138328,4410,No,No,Delivery,Dine-out,Empire
"Mullen, Mack and Buchanan",Whitefield,4.7,57363,3178,No,No,Dessert Parlor,Desserts,TBC Sky Lounge
"Gomez, Carroll and West",Jayanagar,2.2,72843,3665,Yes,No,Dessert Parlor,Delivery,Biergarten
Ramos and Sons,Marathahalli,4.6,28898,2170,Yes,No,Quick Bites,Cafes,Toit
Newton Ltd,Marathahalli,3.8,118667,3083,No,Yes,Dessert Parlor,Delivery,Brew and Barbeque
"Aguilar, Riley and Smith",Jayanagar,2.2,104062,4313,No,No,Casual Dining,Buffet,Windmills Craftworks
"Gallagher, Collins and Walker",BTM,1.8,100285,3661,Yes,No,Quick Bites,Buffet,Biergarten
Flynn-Rogers,Church Street,2.5,129408,4448,No,Yes,Casual Dining,Dine-out,The Black Pearl
Howard PLC,JP Nagar,1.9,9365,4912,No,Yes,Casual Dining,Desserts,The Black Pearl
White-Stout,Koramangala,2.3,106062,3410,No,Yes,Quick Bites,Cafes,Truffles
"Rogers, Jimenez and Warner",JP Nagar,2.1,53376,3047,No,No,Casual Dining,Delivery,Biergarten
Rogers-Taylor,MG Road,4.7,124989,2701,Yes,Yes,Cafe,Delivery,Biergarten
"Fowler, Mckenzie and Ellis",HSR,2.7,119342,1361,Yes,No,Delivery,Cafes,Toit
"Williams, Lamb and West",HSR,4.9,20189,1598,Yes,No,Delivery,Desserts,Toit
White Inc,Marathahalli,4.6,123890,1096,Yes,Yes,Dessert Parlor,Cafes,TBC Sky Lounge
Wright-Weaver,MG Road,3.3,38435,969,Yes,No,Cafe,Buffet,Truffles
"Garcia, Ortiz and Spencer",BTM,5.0,67470,5634,No,No,Cafe,Buffet,Toit
"Murray, Johnson and Hobbs",BTM,2.6,87497,4442,No,Yes,Cafe,Desserts,Toit
Martinez and Sons,HSR,4.9,57748,5601,Yes,No,Delivery,Delivery,TBC Sky Lounge
"Malone, Lopez and Johnson",Church Street,4.1,112920,3144,Yes,Yes,Quick Bites,Buffet,The Black Pearl
Cortez LLC,Koramangala,4.6,142856,3880,Yes,No,Cafe,Cafes,The Fatty Bao
"Henderson, Morse and Mendoza",Church Street,3.0,72426,2733,Yes,Yes,Dessert Parlor,Desserts,Brew and Barbeque
Simmons and Sons,Church Street,1.9,119292,4842,No,No,Casual Dining,Delivery,Truffles
"Archer, Torres and Figueroa",HSR,3.1,39391,4485,No,Yes,Cafe,Buffet,Windmills Craftworks
Owens-Francis,Whitefield,4.3,4097,3918,Yes,Yes,Cafe,Desserts,The Black Pearl
Wallace LLC,Indiranagar,3.2,1344,3725,No,Yes,Casual Dining,Cafes,Biergarten
"Smith, Hernandez and Pugh",BTM,4.6,131604,5650,Yes,Yes,Cafe,Dine-out,TBC Sky Lounge
Knight LLC,Jayanagar,3.5,21169,2582,Yes,Yes,Delivery,Cafes,TBC Sky Lounge
Hill Group,Jayanagar,3.0,25736,2340,No,No,Quick Bites,Desserts,The Fatty Bao
Rose Group,BTM,4.3,36494,5797,Yes,No,Quick Bites,Buffet,Empire
Bailey Ltd,JP Nagar,2.6,22448,2635,No,Yes,Delivery,Buffet,The Black Pearl
"Bryant, Cox and Turner",HSR,3.3,82129,4327,No,No,Cafe,Buffet,Truffles
"Martin, Best and Mathews",Jayanagar,4.9,120932,426,Yes,No,Casual Dining,Dine-out,Nagarjuna
"Armstrong, Mckinney and Stevens",Koramangala,4.3,134281,3256,Yes,No,Casual Dining,Buffet,Biergarten
Bryant and Sons,Jayanagar,3.8,121332,4443,No,Yes,Casual Dining,Delivery,Windmills Craftworks
Cole-Mendoza,Whitefield,2.7,25542,2580,No,No,Casual Dining,Delivery,Nagarjuna
Hughes PLC,MG Road,4.1,13908,5947,Yes,Yes,Dessert Parlor,Buffet,Biergarten
"Trujillo, Wilson and Gonzalez",JP Nagar,4.6,40583,2664,No,Yes,Delivery,Desserts,TBC Sky Lounge
Patel Group,Whitefield,1.7,40123,5146,Yes,Yes,Quick Bites,Dine-out,The Black Pearl
"Stewart, Wood and Dixon",Marathahalli,1.6,132603,3835,No,Yes,Casual Dining,Cafes,The Fatty Bao
Ramsey PLC,Marathahalli,4.9,61594,4678,No,No,Dessert Parlor,Delivery,The Fatty Bao
"Berry, Avila and Malone",HSR,3.7,48456,1360,Yes,Yes,Dessert Parlor,Desserts,TBC Sky Lounge
"Lowe, Franklin and Kelly",Marathahalli,3.2,75887,5668,Yes,No,Cafe,Cafes,The Fatty Bao
Miller-Lam,Jayanagar,3.9,28147,4000,No,No,Quick Bites,Delivery,Windmills Craftworks
"Beard, Patrick and Ferrell",Marathahalli,1.9,102096,290,No,Yes,Dessert Parlor,Buffet,Toit
"Reynolds, Elliott and Patterson",BTM,4.9,122669,3954,No,Yes,Quick Bites,Cafes,Empire
Young LLC,MG Road,2.2,137650,3399,Yes,Yes,Quick Bites,Cafes,Nagarjuna
"Martin, Jimenez and Miller",BTM,3.1,36720,2480,No,No,Casual Dining,Buffet,The Fatty Bao
Young PLC,Marathahalli,3.6,47294,4918,No,Yes,Cafe,Desserts,Nagarjuna
"Allen, Matthews and Adams",BTM,3.5,105856,753,Yes,Yes,Quick Bites,Dine-out,The Black Pearl
"Washington, Wright and Fisher",Whitefield,3.2,124898,2851,Yes,Yes,Casual Dining,Dine-out,The Fatty Bao
Wells-Hart,Jayanagar,4.7,16243,5212,No,Yes,Casual Dining,Delivery,Truffles
"Graham, Gregory and White",BTM,3.6,7732,1625,No,Yes,Delivery,Buffet,Biergarten
Perry PLC,Church Street,3.4,51316,2268,No,No,Cafe,Dine-out,TBC Sky Lounge
"Smith, Robinson and Taylor",HSR,3.0,138560,1775,Yes,Yes,Casual Dining,Dine-out,Toit
"Drake, Morton and Bennett",HSR,4.6,94266,3542,Yes,No,Quick Bites,Desserts,Truffles
Bennett-Norris,JP Nagar,4.4,149529,4080,No,No,Dessert Parlor,Desserts,Biergarten
Coleman-Swanson,Whitefield,3.0,98607,780,Yes,Yes,Dessert Parlor,Cafes,The Black Pearl
"Munoz, Davis and Bowman",Whitefield,3.2,13504,5127,No,Yes,Quick Bites,Cafes,Windmills Craftworks
"Russell, Roach and White",Jayanagar,4.0,17823,1493,No,Yes,Dessert Parlor,Desserts,TBC Sky Lounge
Berry and Sons,MG Road,4.8,131094,2757,No,Yes,Dessert Parlor,Delivery,Nagarjuna
Chavez-Byrd,Marathahalli,4.8,68967,5551,Yes,Yes,Cafe,Buffet,Windmills Craftworks
Swanson Group,JP Nagar,2.7,15579,1341,Yes,No,Casual Dining,Dine-out,Truffles
"Harris, Hogan and Cameron",Whitefield,4.3,147821,5197,Yes,No,Casual Dining,Buffet,Nagarjuna
"Tate, Williams and Thomas",Church Street,4.8,144562,4122,Yes,No,Casual Dining,Delivery,Toit
"Hutchinson, Curtis and Dominguez",Marathahalli,3.3,91827,3734,No,No,Quick Bites,Delivery,Toit
Cruz Inc,Indiranagar,4.2,51435,4576,No,Yes,Dessert Parlor,Buffet,Toit
Turner-Berg,Jayanagar,4.2,32840,3720,No,Yes,Casual Dining,Buffet,The Black Pearl
Smith-Jordan,Church Street,4.9,96402,3081,Yes,No,Delivery,Delivery,TBC Sky Lounge
"Smith, Thomas and Meadows",JP Nagar,1.8,2644,2060,No,Yes,Casual Dining,Dine-out,Toit
Smith-Frank,Whitefield,1.7,114974,1679,No,Yes,Cafe,Cafes,Nagarjuna
Gonzalez-James,JP Nagar,5.0,34014,5165,No,No,Casual Dining,Delivery,The Black Pearl
Long-Carter,Koramangala,4.8,53975,4254,No,Yes,Delivery,Cafes,Brew and Barbeque
Mccoy-Pearson,MG Road,2.5,64027,4515,No,No,Dessert Parlor,Desserts,The Black Pearl
Dennis Inc,Indiranagar,2.7,107707,5979,No,No,Casual Dining,Dine-out,Biergarten
"Rowland, Colon and Hoffman",MG Road,2.3,144966,1926,Yes,No,Quick Bites,Delivery,TBC Sky Lounge
"Washington, Davis and Estrada",Marathahalli,3.8,118961,1135,Yes,No,Casual Dining,Cafes,Windmills Craftworks
Yates-Rojas,Church Street,2.8,22159,689,No,No,Delivery,Delivery,The Fatty Bao
Morales-Doyle,Jayanagar,3.1,58847,1885,No,Yes,Delivery,Desserts,Toit
"Hernandez, Joseph and Elliott",Koramangala,1.6,91184,412,No,No,Dessert Parlor,Dine-out,Toit
Gonzalez-Goodwin,BTM,4.0,113800,3702,Yes,Yes,Dessert Parlor,Buffet,Windmills Craftworks
White-Smith,MG Road,3.1,148987,4450,No,Yes,Delivery,Buffet,TBC Sky Lounge
Simon-Bailey,HSR,4.7,73593,5791,No,Yes,Quick Bites,Desserts,Windmills Craftworks
"Walton, Colon and Meyer",BTM,3.5,10130,5242,No,No,Cafe,Cafes,Nagarjuna
"Johnson, Matthews and Rodriguez",Indiranagar,1.9,149023,5613,No,No,Quick Bites,Buffet,Truffles
"Sawyer, Cook and Martin",Indiranagar,3.0,122284,503,No,No,Dessert Parlor,Dine-out,The Fatty Bao
"Howe, Price and Sellers",Indiranagar,3.5,20862,2464,No,Yes,Delivery,Dine-out,Windmills Craftworks
Lee Group,Koramangala,2.4,129752,1242,Yes,Yes,Quick Bites,Desserts,Toit
"Brown, White and Martinez",JP Nagar,1.9,10103,1709,No,No,Casual Dining,Desserts,TBC Sky Lounge
Atkinson-Hopkins,Indiranagar,4.8,67919,2308,Yes,No,Dessert Parlor,Delivery,Nagarjuna
Crawford-Rogers,JP Nagar,2.7,20320,4352,No,Yes,Dessert Parlor,Delivery,TBC Sky Lounge
Lee-Scott,JP Nagar,2.6,97359,5778,No,Yes,Delivery,Cafes,Biergarten
Thomas Ltd,Indiranagar,2.6,94457,2944,No,No,Delivery,Cafes,Nagarjuna
Sullivan-Jackson,Indiranagar,2.1,11704,2582,Yes,Yes,Casual Dining,Desserts,TBC Sky Lounge
Guerrero Ltd,BTM,3.3,133226,4963,No,Yes,Delivery,Desserts,Toit
"Ferguson, Shea and Strickland",HSR,2.8,20573,833,Yes,No,Dessert Parlor,Delivery,Empire
"Hatfield, Dixon and Weber",Indiranagar,3.6,137490,4462,No,No,Cafe,Dine-out,Nagarjuna
Patterson-Chandler,Koramangala,4.7,86172,2191,No,Yes,Delivery,Cafes,The Black Pearl
Vincent PLC,JP Nagar,3.1,107469,3164,Yes,No,Dessert Parlor,Desserts,The Black Pearl
Shaw PLC,BTM,3.8,60394,3877,No,Yes,Dessert Parlor,Dine-out,Empire
"Hill, Smith and Lynch",JP Nagar,4.2,106864,5722,Yes,No,Cafe,Cafes,Brew and Barbeque
"Bass, Parker and Richards",Whitefield,1.8,110378,4337,Yes,No,Quick Bites,Dine-out,Truffles
Martin-Smith,Indiranagar,2.1,109750,2357,No,Yes,Quick Bites,Delivery,The Fatty Bao
Campbell LLC,Indiranagar,3.9,19150,1284,No,No,Cafe,Dine-out,The Fatty Bao
"Ross, Brewer and Wilson",MG Road,2.3,76920,1175,No,No,Dessert Parlor,Desserts,Nagarjuna
"Johnson, Lozano and Moreno",Whitefield,5.0,11868,804,No,No,Delivery,Buffet,The Fatty Bao
Rodriguez-Baldwin,Koramangala,4.2,35296,1702,Yes,Yes,Casual Dining,Desserts,Nagarjuna
Brewer PLC,BTM,3.9,118899,3307,No,No,Quick Bites,Desserts,Nagarjuna
Jennings PLC,Koramangala,4.8,25411,2102,No,No,Cafe,Delivery,Nagarjuna
Long Ltd,MG Road,4.6,133238,3695,No,No,Delivery,Cafes,Biergarten
Garner-Jones,HSR,1.6,55238,3726,No,No,Casual Dining,Cafes,Windmills Craftworks
"Erickson, Palmer and Miller",HSR,1.9,71797,4186,No,Yes,Quick Bites,Cafes,Windmills Craftworks
"Gill, Smith and Montgomery",Church Street,4.1,60742,5659,No,Yes,Casual Dining,Dine-out,Empire
"Thomas, Black and Ward",MG Road,4.1,7179,5102,Yes,Yes,Casual Dining,Buffet,Toit
Taylor Ltd,BTM,2.2,149737,3693,No,Yes,Delivery,Cafes,The Black Pearl
Powers-Campbell,Whitefield,3.1,113325,4240,No,Yes,Quick Bites,Cafes,The Black Pearl
Moore-Padilla,BTM,4.3,58321,809,No,Yes,Dessert Parlor,Cafes,Windmills Craftworks
Perez-Solomon,Marathahalli,3.7,134449,5705,Yes,No,Casual Dining,Buffet,The Black Pearl
Tran-Mcgee,MG Road,2.6,146330,5615,Yes,Yes,Quick Bites,Dine-out,Nagarjuna
Nunez-Bauer,Jayanagar,4.6,57736,5716,Yes,No,Delivery,Dine-out,Truffles
Kennedy PLC,HSR,4.1,74091,1279,Yes,Yes,Dessert Parlor,Dine-out,Toit
"Bailey, Richards and Torres",Jayanagar,1.7,146217,5207,Yes,Yes,Casual Dining,Buffet,Windmills Craftworks
"Smith, Alexander and Miller",Church Street,2.8,61539,5424,No,No,Dessert Parlor,Dine-out,Windmills Craftworks
"Mcdonald, Frederick and King",JP Nagar,4.6,127165,4215,No,No,Dessert Parlor,Buffet,Windmills Craftworks
Scott-Wilson,Whitefield,2.3,75316,3637,No,No,Quick Bites,Buffet,The Black Pearl
"Santiago, Pacheco and Woods",HSR,3.1,83609,5611,Yes,No,Delivery,Dine-out,Truffles
